question,answer
Which element has the chemical symbol 'Au'?,Gold
What is the chemical symbol for Platinum?,Pt
Which element has the chemical symbol 'Pt'?,Platinum
What is the chemical symbol for Lead?,Pb
Which element has the chemical symbol 'Pb'?,Lead
What is the chemical symbol for Tin?,Sn
Which element has the chemical symbol 'Sn'?,Tin
What is the chemical symbol for Nickel?,Ni
Which element has the chemical symbol 'Ni'?,Nickel
What is the chemical symbol for Mercury?,Hg
Which element has the chemical symbol 'Hg'?,Mercury
What is the chemical symbol for Iodine?,I
Which element has the chemical symbol 'I'?,Iodine
What is the chemical symbol for Uranium?,U
Which element has the chemical symbol 'U'?,Uranium
What is the chemical symbol for Tungsten?,W
Which element has the chemical symbol 'W'?,Tungsten
What is the chemical symbol for Chromium?,Cr
Which element has the chemical symbol 'Cr'?,Chromium
What is the chemical symbol for Manganese?,Mn
Which element has the chemical symbol 'Mn'?,Manganese
What is the chemical symbol for Cobalt?,Co
Which element has the chemical symbol 'Co'?,Cobalt
What is the chemical symbol for Barium?,Ba
Which element has the chemical symbol 'Ba'?,Barium
What is the chemical symbol for Xenon?,Xe
Which element has the chemical symbol 'Xe'?,Xenon
What is the chemical symbol for Bromine?,Br
Which element has the chemical symbol 'Br'?,Bromine
What is the chemical symbol for Titanium?,Ti
Which element has the chemical symbol 'Ti'?,Titanium
Which planet is the 1st from the Sun?,Mercury
Which planet is the 2nd from the Sun?,Venus
Which planet is the 3rd from the Sun?,Earth
Which planet is the 4th from the Sun?,Mars
Which planet is the 5th from the Sun?,Jupiter
Which planet is the 6th from the Sun?,Saturn
Which planet is the 7th from the Sun?,Uranus
Which planet is the 8th from the Sun?,Neptune
Which planet is known as the Red Planet?,Mars
Which is the largest planet in the Solar System?,Jupiter
Which is the smallest planet in the Solar System?,Mercury
Which planet is known for its prominent ring system?,Saturn
Which planet is known as the Morning Star or Evening Star?,Venus
What is the closest star to Earth?,The Sun
What is the natural satellite of Earth called?,The Moon
Which planet has the most moons confirmed as of recent counts?,Saturn
How many planets are there in the Solar System?,Eight
Which galaxy do we live in?,The Milky Way
What is the hottest planet in the Solar System?,Venus
What is the name given to a large group of stars?,Galaxy
What is the currency of India?,Rupee
What is the currency of Pakistan?,Rupee
What is the currency of United States?,Dollar
What is the currency of United Kingdom?,Pound Sterling
What is the currency of Japan?,Yen
What is the currency of China?,Yuan (Renminbi)
What is the currency of Germany?,Euro
What is the currency of France?,Euro
What is the currency of Italy?,Euro
What is the currency of Spain?,Euro
What is the currency of Russia?,Ruble
What is the currency of Brazil?,Real
What is the currency of Canada?,Dollar
What is the currency of Australia?,Dollar
What is the currency of Mexico?,Peso
What is the currency of Switzerland?,Franc
What is the currency of South Korea?,Won
What is the currency of Saudi Arabia?,Riyal
What is the currency of Turkey?,Lira
What is the currency of Egypt?,Pound
What is the currency of South Africa?,Rand
What is the currency of Thailand?,Baht
What is the currency of Indonesia?,Rupiah
What is the currency of Vietnam?,Dong
What is the currency of Nigeria?,Naira
What is the currency of Sweden?,Krona
What is the currency of Norway?,Krone
What is the currency of Denmark?,Krone
What is the currency of Poland?,Zloty
What is the currency of Israel?,Shekel
What is the currency of United Arab Emirates?,Dirham
What is the currency of Kuwait?,Dinar
What is the currency of Bangladesh?,Taka
What is the currency of Sri Lanka?,Rupee
What is the currency of Nepal?,Rupee
What is the currency of Iran?,Rial
What is the currency of Iraq?,Dinar
What is the currency of Afghanistan?,Afghani
What is the currency of Philippines?,Peso
What is the currency of Malaysia?,Ringgit
What is the currency of Singapore?,Dollar
What is the currency of New Zealand?,Dollar
What is the currency of Argentina?,Peso
What is the currency of Chile?,Peso
What is the currency of Colombia?,Peso
What is the currency of Peru?,Sol
What is the currency of Kenya?,Shilling
What is the currency of Ghana?,Cedi
What is the currency of Ethiopia?,Birr
What is the currency of Morocco?,Dirham
How many days are there in a week?,Seven
How many months are there in a year?,Twelve
How many days are there in a leap year?,366
How many days are there in a normal (non-leap) year?,365
How many hours are there in a day?,24
How many minutes are there in an hour?,60
How many seconds are there in a minute?,60
How many continents are there on Earth?,Seven
How many oceans are there on Earth?,Five
What is the largest ocean on Earth?,Pacific Ocean
What is the smallest ocean on Earth?,Arctic Ocean
What is the largest continent by area?,Asia
What is the smallest continent by area?,Australia
What is the largest country in the world by area?,Russia
What is the smallest country in the world by area?,Vatican City
What is the most populous country in the world?,India
What is the longest river in the world?,Nile
What is the largest desert in the world?,Sahara Desert
What is the tallest mountain in the world?,Mount Everest
What is the deepest ocean trench in the world?,Mariana Trench
What is the largest island in the world?,Greenland
What is the fastest land animal?,Cheetah
What is the largest mammal in the world?,Blue Whale
What is the largest land animal in the world?,African Elephant
What is the national animal of India?,Bengal Tiger
What is the tallest animal in the world?,Giraffe
How many colors are there in a rainbow?,Seven
What are the primary colors?,"Red, Blue, and Yellow"
What gas do plants absorb from the atmosphere for photosynthesis?,Carbon Dioxide
What gas do humans need to breathe to survive?,Oxygen
What is the chemical formula for water?,H2O
What is the boiling point of water in Celsius?,100 degrees Celsius
What is the freezing point of water in Celsius?,0 degrees Celsius
What is the powerhouse of the cell called?,Mitochondria
How many bones are there in the adult human body?,206
What is the largest organ in the human body?,Skin
How many chambers does the human heart have?,Four
What is the normal body temperature of a human in Celsius?,37 degrees Celsius
What is the study of living organisms called?,Biology
What is the study of the human mind called?,Psychology
What is the study of stars and space called?,Astronomy
What is the study of rocks and earth's physical structure called?,Geology
What is the study of weather called?,Meteorology
What is the currency used in most of the European Union called?,Euro
How many sides does a hexagon have?,Six
How many sides does a pentagon have?,Five
How many sides does a triangle have?,Three
How many sides does a square have?,Four
What is the value of Pi rounded to two decimal places?,3.14
How many degrees are there in a right angle?,90 degrees
How many degrees are there in a straight angle?,180 degrees
What is the square root of 64?,8
What is the square root of 144?,12
How many legs does a spider have?,Eight
How many legs does an insect have?,Six
What is a baby dog called?,Puppy
What is a baby cat called?,Kitten
What is a baby cow called?,Calf
What is a baby sheep called?,Lamb
What is a group of lions called?,Pride
What is a group of wolves called?,Pack
What is the national bird of India?,Peacock
What is the national sport of Japan?,Sumo Wrestling
Which bird is known for its ability to mimic human speech?,Parrot
Which is the fastest bird in the world?,Peregrine Falcon
Which is the largest bird in the world?,Ostrich
What do you call a person who studies animals?,Zoologist
What do you call a person who studies plants?,Botanist
What do you call a doctor who treats teeth?,Dentist
What do you call a doctor who treats eyes?,Ophthalmologist
What do you call a person who flies an aircraft?,Pilot
Who invented the telephone?,Alexander Graham Bell
Who invented the light bulb?,Thomas Edison
Who invented the printing press?,Johannes Gutenberg
Who discovered gravity?,Isaac Newton
Who developed the theory of relativity?,Albert Einstein
Who invented the World Wide Web?,Tim Berners-Lee
Who is known as the father of computers?,Charles Babbage
Who invented the airplane?,The Wright Brothers
Who discovered penicillin?,Alexander Fleming
Who invented the television?,John Logie Baird
Who discovered electricity (through kite experiment)?,Benjamin Franklin
Who invented the steam engine?,James Watt
Who invented dynamite?,Alfred Nobel
Who discovered radium?,Marie Curie
Who wrote the theory of evolution?,Charles Darwin
Who invented the automobile (modern practical version)?,Karl Benz
Who invented the microscope?,Antonie van Leeuwenhoek
Who invented the telescope?,Galileo Galilei (improved it significantly)
Who painted the Mona Lisa?,Leonardo da Vinci
Who wrote the play Romeo and Juliet?,William Shakespeare
Who wrote the Harry Potter book series?,J.K. Rowling
Who composed the Ninth Symphony?,Ludwig van Beethoven
Who is known as the Father of the Nation in India?,Mahatma Gandhi
Who was the first man to walk on the Moon?,Neil Armstrong
Who was the first President of the United States?,George Washington
Who founded Microsoft?,Bill Gates
Who founded Apple Inc.?,Steve Jobs
Who founded Facebook?,Mark Zuckerberg
Who founded Amazon?,Jeff Bezos
Who founded Tesla and SpaceX?,Elon Musk
"Who wrote the national anthem of India, Jana Gana Mana?",Rabindranath Tagore
Who discovered America?,Christopher Columbus
Who was the first Emperor of Rome?,Augustus
Who painted the ceiling of the Sistine Chapel?,Michelangelo
Who invented the polio vaccine?,Jonas Salk
Who is credited with inventing the World Wide Web browser concept for public use?,Tim Berners-Lee
Who wrote the book '1984'?,George Orwell
Who is the author of 'Pride and Prejudice'?,Jane Austen
Who wrote 'The Adventures of Tom Sawyer'?,Mark Twain
Who was the first woman to win a Nobel Prize?,Marie Curie
Who invented the ballpoint pen?,Laszlo Biro
On which continent is the Sahara Desert located?,Africa
On which continent is the Amazon Rainforest located?,South America
Which river flows through Egypt?,Nile
Which river flows through Paris?,Seine
Which river flows through London?,Thames
Which mountain range separates Europe and Asia?,Ural Mountains
Which mountain range includes Mount Everest?,Himalayas
Which is the longest mountain range in the world?,The Andes
Which country is known as the Land of the Rising Sun?,Japan
"Which country is known as the Land of the Rising Sun's neighbor, the Land of Morning Calm?",South Korea
Which country is known as the Land of a Thousand Lakes?,Finland
Which country is known as the Land Down Under?,Australia
Which city is known as the Big Apple?,New York City
Which city is known as the City of Love?,Paris
Which city is known as the Eternal City?,Rome
Which country has the shape of a boot?,Italy
Which is the driest desert in the world?,Atacama Desert
Which is the largest coral reef system in the world?,Great Barrier Reef
In which country is the Great Barrier Reef located?,Australia
Which is the highest waterfall in the world?,Angel Falls
In which country is the Eiffel Tower located?,France
In which country is the Taj Mahal located?,India
In which country is the Great Wall located?,China
In which country are the pyramids of Giza located?,Egypt
In which country is the Colosseum located?,Italy
In which country is Big Ben located?,United Kingdom
In which country is the Statue of Liberty located?,United States
In which country is Christ the Redeemer statue located?,Brazil
In which country is Machu Picchu located?,Peru
Which strait separates Europe and Africa?,Strait of Gibraltar
Which canal connects the Mediterranean Sea and the Red Sea?,Suez Canal
Which canal connects the Atlantic and Pacific Oceans?,Panama Canal
Which is the largest lake in the world by area?,Caspian Sea
Which is the largest freshwater lake in the world by area?,Lake Superior
"What is the capital of the continent-sized country Brazil, known for its planned layout?",Brasilia
Which desert covers most of northern Africa?,Sahara Desert
Which sea has no coastline and is the saltiest large body of water?,Dead Sea
How many players are there in a football (soccer) team on the field?,Eleven
How many players are there in a cricket team on the field?,Eleven
How many players are there in a basketball team on the court?,Five
How many players are there in a volleyball team on the court?,Six
How many players are there in a hockey team on the field?,Eleven
How often are the Summer Olympic Games held?,Every four years
In which country were the first modern Olympic Games held?,Greece
Which country hosted the 2016 Summer Olympics?,Brazil
Which country hosted the 2020 Summer Olympics (held in 2021)?,Japan
Which sport is known as the 'Gentleman's Game'?,Cricket
"In which sport is the term 'Grand Slam' used, referring to major tournaments?",Tennis
How many players make up a rugby union team?,Fifteen
What is the maximum score possible with three darts in a single turn?,180
How many rings are there in the Olympic flag?,Five
Which trophy is awarded to the winner of the FIFA World Cup?,FIFA World Cup Trophy
Which country has won the most FIFA World Cup titles?,Brazil
What is the national sport of the United States?,Baseball
What sport is played at Wimbledon?,Tennis
How many holes are there in a standard round of golf?,Eighteen
"In boxing, how many rounds are typically in a professional championship match?",Twelve
What is the term for scoring three goals by one player in a soccer match?,Hat-trick
How many points is a touchdown worth in American football?,Six
What shape is a cricket pitch?,Rectangular
In which sport would you perform a slam dunk?,Basketball
Which country is credited with inventing the sport of cricket?,England
What is the process by which plants make their own food called?,Photosynthesis
What is the basic unit of life called?,Cell
What part of the plant conducts photosynthesis?,Leaves
What is the green pigment in plants called?,Chlorophyll
What gas do humans exhale?,Carbon Dioxide
What is the human body's control center called?,Brain
How many senses do humans have traditionally?,Five
What organ pumps blood throughout the human body?,Heart
What is the liquid part of blood called?,Plasma
What blood cells help fight infection?,White Blood Cells
What blood cells carry oxygen?,Red Blood Cells
What is the hardest natural substance on Earth?,Diamond
What is the most abundant gas in Earth's atmosphere?,Nitrogen
What force pulls objects toward the Earth?,Gravity
"What is the speed of light approximately, in km per second?","300,000 km per second"
What is the unit of electric current?,Ampere
What is the unit of electrical resistance?,Ohm
What is the unit used to measure temperature in the metric system?,Celsius
What instrument is used to measure temperature?,Thermometer
What instrument is used to measure atmospheric pressure?,Barometer
What instrument is used to measure earthquakes?,Seismograph
What planet is closest to the Sun?,Mercury
What is the study of fossils called?,Paleontology
What natural phenomenon causes day and night?,Rotation of the Earth
What causes the seasons to change on Earth?,The tilt of Earth's axis
What is the process of water turning into vapor called?,Evaporation
What is the process of vapor turning into liquid water called?,Condensation
What are the three states of matter?,"Solid, liquid, and gas"
What is the center of an atom called?,Nucleus
What are the tiny particles that orbit the nucleus of an atom called?,Electrons
In which year did World War II end?,1945
In which year did World War I begin?,1914
In which year did India gain independence?,1947
In which year did the Berlin Wall fall?,1989
Who was the first Prime Minister of India?,Jawaharlal Nehru
Who was the President of the United States during the American Civil War?,Abraham Lincoln
In which year did the Titanic sink?,1912
In which year did man first land on the Moon?,1969
Which ancient civilization built the pyramids of Giza?,The Ancient Egyptians
Which empire was ruled by Julius Caesar?,The Roman Empire
Who was the queen of Egypt famously associated with Julius Caesar and Mark Antony?,Cleopatra
Which war was fought between the North and South regions of the United States?,The American Civil War
Who led the Indian independence movement through nonviolent resistance?,Mahatma Gandhi
Which country was formerly known as Persia?,Iran
Which wall divided East and West Germany during the Cold War?,The Berlin Wall
In which century did the Renaissance begin?,The 14th century
What is the opposite of 'hot'?,Cold
What is the opposite of 'big'?,Small
What is the opposite of 'happy'?,Sad
What is the opposite of 'fast'?,Slow
What is the opposite of 'day'?,Night
What is the opposite of 'up'?,Down
What is the opposite of 'open'?,Closed
